activity1,activity2,corr,communities,cluster1,cluster2
cholera_hp_rcce_iec,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.24,24,WASH,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.24,22,Nutrition,Education
# of children 0-6 months EBF,1.1.1.1: Provision of core NFIs,0.24,21,Nutrition,SNFI
Seasonal and supplementary NFIs,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.24,21,SNFI,Education
Cooked Meals,Multipurpose cash,0.239,40,FSL,Cash
New people reached with GBV services  - GBV100,# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.239,29,Protection,Nutrition
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,1.13.2 Provide children with school bags in non-formal settings,0.239,22,Nutrition,Education
chlorination,Multipurpose cash,0.238,68,WASH,Cash
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,o_m,0.238,53,Nutrition,WASH
des_beneficiaries,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.238,44,WASH,Education
hp_ben,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.238,42,WASH,Education
New people reached with GBV services  - GBV100,Multipurpose cash,0.238,32,Protection,Cash
# of children 6-59 months reached with HEB for 2 weeks,"Mixed Food Items (MFIs, SFBs)",0.238,25,Nutrition,FSL
# of pregnant and lactating women in NW Syria trained on family MUAC approach,cholera_safe_water,0.237,38,Nutrition,WASH
Multipurpose cash,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.237,33,Cash,Education
Legal services - GP6,# of PLWs with moderate acute malnutrition admitted for treatment,0.237,28,Protection,Nutrition
# of caregivers with infants 0-6 months that are counselled on IYCF,chlorin_cholera,0.237,28,Nutrition,WASH
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"Mixed Food Items (MFIs, SFBs)",0.237,28,Nutrition,FSL
# of lactating mothers (mothers of children 0-23 months) that started re-lactation,1.02.1 Support the provision of formal education to children and youth,0.237,28,Nutrition,Education
"# of PLWs who received micronutrients including iron, folate  for six months",pwd_beneficiaries,0.237,25,Nutrition,WASH
# of mother to mother support groups established in line with the IYCF-E guidelines,water_trucking,0.237,24,Nutrition,WASH
hk_ben,High Energy Biscuits,0.237,24,WASH,FSL
Awareness raising through contact initiatives - GP2,# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,0.236,63,Protection,Nutrition
Awareness raising through contact initiatives - GP2,swm_support_benf,0.236,62,Protection,WASH
water_trucking,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.236,56,WASH,Education
hp_ben,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.236,53,WASH,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.236,42,Nutrition,Education
Bread/Flour distribution,2.05.7 Provide children with recreational materials in formal settings,0.236,35,FSL,Education
chlorination,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.236,32,WASH,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.236,26,Nutrition,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,1.1.1.1: Provision of core NFIs,0.236,25,Nutrition,SNFI
Ready to Eat Ration,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.236,25,FSL,Education
Awareness raising through contact initiatives - GP2,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.236,23,Protection,Education
# of RRTs established and supported to provide CMAM and IYCF services.,des_beneficiaries,0.236,22,Nutrition,WASH
hp_ben,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.236,22,WASH,Education
water_trucking,"1.07.3 classrooms (permanent school) constructed, established, rehabilitated or repaired  in formal settings",0.236,21,WASH,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",hp_ben,0.235,39,Nutrition,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"Mixed Food Items (MFIs, SFBs)",0.235,29,Nutrition,FSL
hk_ben,Seasonal and supplementary NFIs,0.235,23,WASH,SNFI
Awareness raising through contact initiatives - GP2,# of caregivers with infants 0-6 months that are counselled on IYCF,0.234,49,Protection,Nutrition
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",wq_testing,0.234,33,Nutrition,WASH
# of lactating mothers (mothers of children 0-23 months) that started re-lactation,Bread/Flour distribution,0.234,25,Nutrition,FSL
# of pregnant and lactating women in NW Syria trained on family MUAC approach,pwd_beneficiaries,0.234,22,Nutrition,WASH
Bread/Flour distribution,Multipurpose cash,0.233,78,FSL,Cash
Awareness raising through contact initiatives - GP2,water_trucking,0.233,57,Protection,WASH
# PLWs screened for malnutrition,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.233,43,Nutrition,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,sew_rehab_repair,0.233,34,Nutrition,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.13.2 Provide children with school bags in non-formal settings,0.233,27,Nutrition,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.233,27,Nutrition,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,pw_d_beneficiaries_toilet,0.233,24,Nutrition,WASH
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,fuel_consumption,0.232,46,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.232,43,Nutrition,Education
swm_support_benf,Seasonal and supplementary NFIs,0.232,33,WASH,SNFI
# of children 6-59 months reached with HEB for 2 weeks,Cooked Meals,0.232,32,Nutrition,FSL
pw_d_beneficiaries_toilet,Multipurpose cash,0.232,32,WASH,Cash
# PLWs screened for malnutrition,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.232,27,Nutrition,Education
Multipurpose cash,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.232,27,Cash,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.232,24,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.232,22,Nutrition,Education
# of children 6-23 months reached with LNS for four month,1.9   Provide children with school water trucking,0.231,75,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.231,27,Nutrition,Education
Awareness raising through contact initiatives - GP2,cholera_sew,0.231,26,Protection,WASH
cholera_safe_water,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.231,26,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.231,26,Nutrition,Education
Multipurpose cash,"1.07.3 classrooms (permanent school) constructed, established, rehabilitated or repaired  in formal settings",0.231,24,Cash,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",Multipurpose cash,0.23,54,Nutrition,Cash
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",chlorination,0.23,33,Nutrition,WASH
# of PLWs received HEB for 2 weeks,swm_support_benf,0.23,31,Nutrition,WASH
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.23,30,Nutrition,Education
# of PLWs received HEB for 2 weeks,hp_ben,0.23,25,Nutrition,WASH
# PLWs screened for malnutrition,pwd_beneficiaries,0.23,25,Nutrition,WASH
# PLWs screened for malnutrition,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.23,25,Nutrition,Education
"# of PLWs who received micronutrients including iron, folate  for six months","2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.23,22,Nutrition,Education
# of mother to mother support groups established in line with the IYCF-E guidelines,Ready to Eat Ration,0.23,21,Nutrition,FSL
wq_testing,Multipurpose cash,0.229,66,WASH,Cash
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,chlorination,0.229,52,Nutrition,WASH
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,Cooked Meals,0.229,36,Nutrition,FSL
# of boys and girls (6 – 59 months) screened for malnutrition,pwd_beneficiaries,0.229,25,Nutrition,WASH
New people reached with GBV services  - GBV100,1.02.1 Support the provision of formal education to children and youth,0.229,25,Protection,Education
# of RRTs established and supported to provide CMAM and IYCF services.,1.02.1 Support the provision of formal education to children and youth,0.229,25,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.229,25,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.229,24,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,fuel_consumption,0.228,41,Nutrition,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.228,39,Nutrition,Education
# of children 0-6 months EBF,hk_ben,0.228,38,Nutrition,WASH
Multipurpose cash,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.228,29,Cash,Education
Seasonal and supplementary NFIs,Ready to Eat Ration,0.228,27,SNFI,FSL
wq_testing,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.228,27,WASH,Education
sew_rehab_repair,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.228,22,WASH,Education
hp_ben,Food Baskets,0.227,108,WASH,FSL
"# of PLWs who received micronutrients including iron, folate  for six months",fuel_consumption,0.227,47,Nutrition,WASH
Number of PLW reached with MAM treatment,swm_support_benf,0.227,46,Nutrition,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,fuel_consumption,0.227,44,Nutrition,WASH
chlorination,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.227,35,WASH,Education
o_m,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.227,35,WASH,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,1.13.2 Provide children with school bags in non-formal settings,0.227,26,Nutrition,Education
Legal services - GP6,Bread/Flour distribution,0.227,22,Protection,FSL
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"1.07.4 classrooms (temporary learning spaces) constructed, established, rehabilitated or repaired in non-formal settings",0.227,21,Nutrition,Education
chlorination,1.02.1 Support the provision of formal education to children and youth,0.226,51,WASH,Education
Psychosocial support (PSS) - GP4,# of children 6-23 months reached with LNS for four month,0.226,42,Protection,Nutrition
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),2.04.2 Provide children (5-24) with life skills and citizenship education programs in non-formal settings,0.226,21,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.225,37,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,sew_rehab_repair,0.225,32,Nutrition,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.225,27,Nutrition,Education
"# of PLWs who received micronutrients including iron, folate  for six months","1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.225,26,Nutrition,Education
Awareness raising through contact initiatives - GP2,hp_pwd_ben,0.225,25,Protection,WASH
Number of PLW reached with MAM treatment,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.225,24,Nutrition,Education
New people reached with GBV services  - GBV100,1.9   Provide children with school water trucking,0.225,24,Protection,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.225,24,Nutrition,Education
Awareness raising through contact initiatives - GP2,"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",0.224,33,Protection,Nutrition
chlorination,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.224,27,WASH,Education
cholera_hp_rcce_iec,Bread/Flour distribution,0.224,26,WASH,FSL
water_trucking,"Mixed Food Items (MFIs, SFBs)",0.224,25,WASH,FSL
# of children 6-23 months reached with LNS for four month,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.223,58,Nutrition,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"Mixed Food Items (MFIs, SFBs)",0.223,29,Nutrition,FSL
wq_testing,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.223,28,WASH,Education
# PLWs screened for malnutrition,1.13.2 Provide children with school bags in non-formal settings,0.223,27,Nutrition,Education
"# of PLWs who received micronutrients including iron, folate  for six months",1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.223,27,Nutrition,Education
# PLWs screened for malnutrition,"2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.223,22,Nutrition,Education
hp_ben,1.02.1 Support the provision of formal education to children and youth,0.222,60,WASH,Education
wq_testing,1.02.1 Support the provision of formal education to children and youth,0.222,50,WASH,Education
Awareness raising through contact initiatives - GP2,hp_ben,0.222,47,Protection,WASH
Number of PLW reached with MAM treatment,Bread/Flour distribution,0.222,35,Nutrition,FSL
# of boys and girls (6 – 59 months) screened for malnutrition,1.13.2 Provide children with school bags in non-formal settings,0.222,27,Nutrition,Education
# of children 0-6 months EBF,Animal treatment/vaccination,0.222,26,Nutrition,FSL
"# of PLWs who received micronutrients including iron, folate  for six months",2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.222,24,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,"2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.222,22,Nutrition,Education
# of children 6-23 months reached with LNS for four month,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.221,65,Nutrition,Education
Food Baskets,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.221,44,FSL,Education
Number of PLW reached with MAM treatment,Ready to Eat Ration,0.221,37,Nutrition,FSL
# PLWs screened for malnutrition,sew_rehab_repair,0.221,36,Nutrition,WASH
# of children 6-23 months reached with LNS for four month,High Energy Biscuits,0.221,33,Nutrition,FSL
Legal services - GP6,# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,0.221,29,Protection,Nutrition
# of children 6-59 months reached with HEB for 2 weeks,sew_rehab_repair,0.221,28,Nutrition,WASH
# of lactating mothers (mothers of children 0-23 months) that started re-lactation,1.9   Provide children with school water trucking,0.221,26,Nutrition,Education
Awareness raising through contact initiatives - GP2,sew_rehab_repair,0.221,22,Protection,WASH
Case management and Referrals - GP5,Food Baskets,0.22,77,Protection,FSL
fuel_consumption,Multipurpose cash,0.22,45,WASH,Cash
# of boys and girls (6 – 59 months) screened for malnutrition,sew_rehab_repair,0.22,36,Nutrition,WASH
wq_testing,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.22,34,WASH,Education
chlorination,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.22,28,WASH,Education
Legal services - GP6,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.22,21,Protection,Education
"# of PLWs who received micronutrients including iron, folate  for six months",sew_rehab_repair,0.219,35,Nutrition,WASH
Awareness raising through contact initiatives - GP2,2.05.7 Provide children with recreational materials in formal settings,0.219,30,Protection,Education
# of children 0-6 months EBF,cholera_hp_rcce_iec,0.219,22,Nutrition,WASH
Seasonal and supplementary NFIs,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.219,22,SNFI,Education
Multipurpose cash,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.218,65,Cash,Education
beneficiaries_toilets,Food Baskets,0.218,62,WASH,FSL
# of children 6-23 months reached with LNS for four month,hk_ben,0.218,57,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.218,35,Nutrition,Education
# of children 6-59 months reached with HEB for 2 weeks,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.218,32,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"Mixed Food Items (MFIs, SFBs)",0.218,26,Nutrition,FSL
Multipurpose cash,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.218,26,Cash,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",fuel_consumption,0.218,23,Nutrition,WASH
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,wq_testing,0.217,50,Nutrition,WASH
Seasonal and supplementary NFIs,Food Baskets,0.217,45,SNFI,FSL
wq_testing,2.05.7 Provide children with recreational materials in formal settings,0.217,29,WASH,Education
Risk education - MA1,chlorination,0.217,27,Protection,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",1.13.2 Provide children with school bags in non-formal settings,0.217,26,Nutrition,Education
Awareness raising through contact initiatives - GP2,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.217,25,Protection,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.217,24,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,2.04.2 Provide children (5-24) with life skills and citizenship education programs in non-formal settings,0.217,21,Nutrition,Education
# PLWs screened for malnutrition,2.04.2 Provide children (5-24) with life skills and citizenship education programs in non-formal settings,0.217,21,Nutrition,Education
Awareness raising through contact initiatives - GP2,# of PLWs with moderate acute malnutrition admitted for treatment,0.216,58,Protection,Nutrition
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,fuel_consumption,0.216,41,Nutrition,WASH
Awareness raising through contact initiatives - GP2,# of children 0-6 months EBF,0.216,38,Protection,Nutrition
# of caregivers with infants 0-6 months that are counselled on IYCF,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.216,21,Nutrition,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,o_m,0.215,46,Nutrition,WASH
water_trucking,2.05.7 Provide children with recreational materials in formal settings,0.215,40,WASH,Education
# PLWs screened for malnutrition,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.215,27,Nutrition,Education
hp_ben,1.9   Provide children with school water trucking,0.214,57,WASH,Education
New people reached with GBV services  - GBV100,# of children 6-23 months reached with LNS for four month,0.214,27,Protection,Nutrition
# of boys and girls (6 – 59 months) screened for malnutrition,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.214,27,Nutrition,Education
Legal services - GP6,# of caregivers with infants 0-6 months that are counselled on IYCF,0.214,22,Protection,Nutrition
cholera_safe_water,Multipurpose cash,0.213,40,WASH,Cash
chlorination,2.05.7 Provide children with recreational materials in formal settings,0.213,29,WASH,Education
Animal treatment/vaccination,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.213,26,FSL,Education
"# of PLWs who received micronutrients including iron, folate  for six months","Mixed Food Items (MFIs, SFBs)",0.212,29,Nutrition,FSL
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.212,22,Nutrition,Education
Awareness raising through contact initiatives - GP2,# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,0.211,63,Protection,Nutrition
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,Animal treatment/vaccination,0.211,42,Nutrition,FSL
"# of PLWs who received micronutrients including iron, folate  for six months",1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.211,40,Nutrition,Education
# of Pregnant and Lactating Women (PLWs) and care-takers of children under 2 who receive CVA support linked to a nutrition objective.,Multipurpose cash,0.211,25,Nutrition,Cash
# of caregivers with infants 0-6 months that are counselled on IYCF,"Mixed Food Items (MFIs, SFBs)",0.211,21,Nutrition,FSL
Awareness raising through contact initiatives - GP2,# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.21,58,Protection,Nutrition
# of pregnant and lactating women in NW Syria trained on family MUAC approach,sew_rehab_repair,0.21,30,Nutrition,WASH
# of caregivers with infants 0-6 months that are counselled on IYCF,cholera_safe_water,0.21,29,Nutrition,WASH
Legal services - GP6,# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,0.21,27,Protection,Nutrition
Awareness raising through contact initiatives - GP2,cholera_safe_water,0.21,25,Protection,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,1.13.2 Provide children with school bags in non-formal settings,0.21,24,Nutrition,Education
Animal treatment/vaccination,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.21,23,FSL,Education
Awareness raising through contact initiatives - GP2,Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),0.209,67,Protection,Nutrition
Number of PLW reached with MAM treatment,Multipurpose cash,0.209,49,Nutrition,Cash
# of children 6-23 months reached with LNS for four month,1.1.1.1: Provision of core NFIs,0.209,28,Nutrition,SNFI
Food Baskets,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.208,98,FSL,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,Cooked Meals,0.208,37,Nutrition,FSL
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,sew_rehab_repair,0.208,33,Nutrition,WASH
Risk education - MA1,wq_testing,0.208,26,Protection,WASH
# PLWs screened for malnutrition,Cooked Meals,0.207,39,Nutrition,FSL
Legal services - GP6,1.02.1 Support the provision of formal education to children and youth,0.207,23,Protection,Education
Awareness raising through contact initiatives - GP2,# PLWs screened for malnutrition,0.206,69,Protection,Nutrition
"# of PLWs who received micronutrients including iron, folate  for six months",Cooked Meals,0.206,38,Nutrition,FSL
fuel_consumption,1.02.1 Support the provision of formal education to children and youth,0.206,34,WASH,Education
# of RRTs established and supported to provide CMAM and IYCF services.,water_trucking,0.206,25,Nutrition,WASH
# of PLWs received HEB for 2 weeks,Ready to Eat Ration,0.206,24,Nutrition,FSL
# of children 0-6 months EBF,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.206,23,Nutrition,Education
hk_ben,Food Baskets,0.205,85,WASH,FSL
Awareness raising through contact initiatives - GP2,# of boys and girls (6 – 59 months) screened for malnutrition,0.205,69,Protection,Nutrition
